#       t           dt       volume      current         Etot     E_adv_in      E_tc_in
8.300000e+00 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.271380e-09
8.400000e+00 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.292960e-09
8.500000e+00 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.314435e-09
8.600000e+00 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.335807e-09
8.700000e+00 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.357076e-09
8.800000e+00 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.378240e-09
8.900000e+00 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.399303e-09
9.000000e+00 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.420274e-09
9.100000e+00 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.441153e-09
9.200000e+00 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.461942e-09
9.300000e+00 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.482640e-09
9.400000e+00 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.503246e-09
9.500000e+00 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.523760e-09
9.600000e+00 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.544183e-09
9.700000e+00 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.564514e-09
9.800000e+00 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.584754e-09
9.900000e+00 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.604904e-09
1.000000e+01 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.624963e-09
1.010000e+01 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.644930e-09
1.020000e+01 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.664807e-09
1.030000e+01 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.684592e-09
1.040000e+01 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.704286e-09
1.050000e+01 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.723888e-09
1.060000e+01 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.743399e-09
1.070000e+01 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.762819e-09
1.080000e+01 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.782149e-09
1.090000e+01 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.801390e-09
1.100000e+01 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.820544e-09
1.110000e+01 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.839609e-09
1.120000e+01 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.858584e-09
1.130000e+01 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.877469e-09
1.140000e+01 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.896267e-09
1.150000e+01 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.914975e-09
1.160000e+01 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.933594e-09
1.170000e+01 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.952123e-09
1.180000e+01 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.970563e-09
1.190000e+01 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.988913e-09
1.200000e+01 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 3.007176e-09
1.210000e+01 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 3.025360e-09
1.220000e+01 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 3.043469e-09
1.230000e+01 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 3.061500e-09
